element_id,odia_element,english_equivalent,element_type,poetic_context,usage_example_odia,usage_example_english,complexity_level
613,ଭ୍ରାତା,brother,vocabulary,"Friendship, support, rivalry",ଭ୍ରାତା ର ମଧୁର କିରଣ,Sweet rays of the brother,advanced
614,ଭଗିନୀ,sister,vocabulary,"Care, sharing, bond",ଭଗିନୀ ର ମଧୁର କିରଣ,Sweet rays of the sister,advanced
615,ସ୍ନେହ,affection,vocabulary,"Love, care, attachment",ସ୍ନେହ ର ମଧୁର କିରଣ,Sweet rays of the affection,advanced
616,ବନ୍ଧୁ,friend,vocabulary,"Companionship, support, trust",ବନ୍ଧୁ ର ମଧୁର କିରଣ,Sweet rays of the friend,advanced
617,ଶତ୍ରୁ,enemy,vocabulary,"Opposition, challenge, conflict",ଶତ୍ରୁ ର ମଧୁର କିରଣ,Sweet rays of the enemy,advanced
618,ପଡୋଶୀ,neighbor,vocabulary,"Proximity, community, help",ପଡୋଶୀ ର ମଧୁର କିରଣ,Sweet rays of the neighbor,advanced
619,ସମାଜ,society,vocabulary,"Community, structure, norms",ସମାଜ ର ମଧୁର କିରଣ,Sweet rays of the society,advanced
620,ପରିବାର,family,vocabulary,"Unity, support, love",ପରିବାର ର ମଧୁର କିରଣ,Sweet rays of the family,advanced
621,ବିବାହ,marriage,vocabulary,"Union, commitment, partnership",ବିବାହ ର ମଧୁର କିରଣ,Sweet rays of the marriage,advanced
622,ସମ୍ପର୍କ,relationship,vocabulary,"Connection, bond, interaction",ସମ୍ପର୍କ ର ମଧୁର କିରଣ,Sweet rays of the relationship,advanced
623,ସହଯୋଗ,cooperation,vocabulary,"Teamwork, help, unity",ସହଯୋଗ ର ମଧୁର କିରଣ,Sweet rays of the cooperation,advanced
624,ପ୍ରତିଯୋଗିତା,competition,vocabulary,"Challenge, growth, rivalry",ପ୍ରତିଯୋଗିତା ର ମଧୁର କିରଣ,Sweet rays of the competition,advanced
625,ସହାନୁଭୂତି,sympathy,vocabulary,"Understanding, sharing feelings",ସହାନୁଭୂତି ର ମଧୁର କିରଣ,Sweet rays of the sympathy,advanced
626,ଆଦର,respect,vocabulary,"Honor, regard, value",ଆଦର ର ମଧୁର କିରଣ,Sweet rays of the respect,advanced
627,ଆତ୍ମୀୟତା,intimacy,vocabulary,"Closeness, familiarity, bond",ଆତ୍ମୀୟତା ର ମଧୁର କିରଣ,Sweet rays of the intimacy,advanced
628,ବିଶ୍ୱାସଘାତକତା,betrayal,vocabulary,"Treachery, broken trust",ବିଶ୍ୱାସଘାତକତା ର ମଧୁର କିରଣ,Sweet rays of the betrayal,advanced
629,ବ୍ରହ୍ମ,ultimate reality,vocabulary,"Supreme truth, cosmic principle",ବ୍ରହ୍ମ ର ମଧୁର କିରଣ,Sweet rays of the ultimate reality,advanced
630,ଆତ୍ମା,soul,vocabulary,"Inner self, spirit, essence",ଆତ୍ମା ର ମଧୁର କିରଣ,Sweet rays of the soul,advanced
631,ପରମାତ୍ମା,supreme soul,vocabulary,"Universal spirit, God",ପରମାତ୍ମା ର ମଧୁର କିରଣ,Sweet rays of the supreme soul,advanced
632,ଅଦ୍ୱୈତ,non-duality,vocabulary,"Unity, oneness, philosophy",ଅଦ୍ୱୈତ ର ମଧୁର କିରଣ,Sweet rays of the non-duality,advanced
633,ଦ୍ୱୈତ,duality,vocabulary,"Dualism, separation, pairs",ଦ୍ୱୈତ ର ମଧୁର କିରଣ,Sweet rays of the duality,advanced
634,ଜ୍ଞାନ,knowledge,vocabulary,"Wisdom, understanding, light",ଜ୍ଞାନ ର ମଧୁର କିରଣ,Sweet rays of the knowledge,advanced
635,ଅଜ୍ଞେୟ,unknowable,vocabulary,"Mystery, beyond comprehension",ଅଜ୍ଞେୟ ର ମଧୁର କିରଣ,Sweet rays of the unknowable,advanced
636,ସାକ୍ଷୀ,witness,vocabulary,"Observer, consciousness, detached",ସାକ୍ଷୀ ର ମଧୁର କିରଣ,Sweet rays of the witness,advanced
637,ସତ୍ଚିଦାନନ୍ଦ,truth-consciousness-bliss,vocabulary,"Divine state, enlightenment",ସତ୍ଚିଦାନନ୍ଦ ର ମଧୁର କିରଣ,Sweet rays of the truth-consciousness-bliss,advanced
638,ନିର୍ଗୁଣ,without qualities,vocabulary,"Formless, attribute-less, absolute",ନିର୍ଗୁଣ ର ମଧୁର କିରଣ,Sweet rays of the without qualities,advanced
639,ସଗୁଣ,with qualities,vocabulary,"With form, attributes, personal",ସଗୁଣ ର ମଧୁର କିରଣ,Sweet rays of the with qualities,advanced
640,ପ୍ରକୃତି,nature,vocabulary,"Material world, creation, feminine",ପ୍ରକୃତି ର ମଧୁର କିରଣ,Sweet rays of the nature,advanced
641,ପୁରୁଷ,spirit,vocabulary,"Consciousness, masculine principle",ପୁରୁଷ ର ମଧୁର କିରଣ,Sweet rays of the spirit,advanced
642,ମାୟା,illusion,vocabulary,"Cosmic illusion, appearance",ମାୟା ର ମଧୁର କିରଣ,Sweet rays of the illusion,advanced
643,ଲୀଳା,divine play,vocabulary,"God's play, cosmic drama",ଲୀଳା ର ମଧୁର କିରଣ,Sweet rays of the divine play,advanced
644,ଅହଂକାର,ego,vocabulary,"Self-identity, separation, pride",ଅହଂକାର ର ମଧୁର କିରଣ,Sweet rays of the ego,advanced
645,ଅନାତ୍ମା,non-self,vocabulary,"Impermanence, emptiness",ଅନାତ୍ମା ର ମଧୁର କିରଣ,Sweet rays of the non-self,advanced
646,ଶୂନ୍ୟ,void,vocabulary,"Emptiness, nothingness, potential",ଶୂନ୍ୟ ର ମଧୁର କିରଣ,Sweet rays of the void,advanced
647,ପୂର୍ଣ୍ଣ,fullness,vocabulary,"Completeness, wholeness, abundance",ପୂର୍ଣ୍ଣ ର ମଧୁର କିରଣ,Sweet rays of the fullness,advanced
648,ଅର୍ଦ୍ଧ,half,vocabulary,"Incomplete, partial, fragment",ଅର୍ଦ୍ଧ ର ମଧୁର କିରଣ,Sweet rays of the half,advanced
649,ଦର୍ଶନ,sight,vocabulary,"Vision, perception, philosophy",ଦର୍ଶନ ର ମଧୁର କିରଣ,Sweet rays of the sight,advanced
650,ଶ୍ରବଣ,hearing,vocabulary,"Sound, listening, attention",ଶ୍ରବଣ ର ମଧୁର କିରଣ,Sweet rays of the hearing,advanced
651,ସ୍ପର୍ଶ,touch,vocabulary,"Contact, feeling, connection",ସ୍ପର୍ଶ ର ମଧୁର କିରଣ,Sweet rays of the touch,advanced
652,ଘ୍ରାଣ,smell,vocabulary,"Scent, aroma, memory",ଘ୍ରାଣ ର ମଧୁର କିରଣ,Sweet rays of the smell,advanced
653,ରସନା,taste,vocabulary,"Flavor, experience, discrimination",ରସନା ର ମଧୁର କିରଣ,Sweet rays of the taste,advanced
654,ଅନୁଭୂତି,experience,vocabulary,"Feeling, realization, knowledge",ଅନୁଭୂତି ର ମଧୁର କିରଣ,Sweet rays of the experience,advanced
655,ସଂବେଦନା,sensation,vocabulary,"Feeling, perception, awareness",ସଂବେଦନା ର ମଧୁର କିରଣ,Sweet rays of the sensation,advanced
656,ପ୍ରତୀତି,perception,vocabulary,"Understanding, cognition, view",ପ୍ରତୀତି ର ମଧୁର କିରଣ,Sweet rays of the perception,advanced
657,ଭ୍ରାନ୍ତି,illusion,vocabulary,"Misperception, error, deception",ଭ୍ରାନ୍ତି ର ମଧୁର କିରଣ,Sweet rays of the illusion,advanced
658,ସାକ୍ଷାତ୍କାର,realization,vocabulary,"Direct experience, enlightenment",ସାକ୍ଷାତ୍କାର ର ମଧୁର କିରଣ,Sweet rays of the realization,advanced
659,ଅନୁଭବ,inner experience,vocabulary,"Personal realization, feeling",ଅନୁଭବ ର ମଧୁର କିରଣ,Sweet rays of the inner experience,advanced
660,ସ୍ମୃତି,memory,vocabulary,"Recollection, past, imprint",ସ୍ମୃତି ର ମଧୁର କିରଣ,Sweet rays of the memory,advanced
661,କଳ୍ପନା,imagination,vocabulary,"Creativity, vision, possibility",କଳ୍ପନା ର ମଧୁର କିରଣ,Sweet rays of the imagination,advanced
662,ଅନୁମାନ,inference,vocabulary,"Deduction, reasoning, guess",ଅନୁମାନ ର ମଧୁର କିରଣ,Sweet rays of the inference,advanced
663,ପ୍ରତ୍ୟକ୍ଷ,direct perception,vocabulary,"Immediate experience, evidence",ପ୍ରତ୍ୟକ୍ଷ ର ମଧୁର କିରଣ,Sweet rays of the direct perception,advanced
664,ଅର୍ଥ,meaning,vocabulary,"Significance, interpretation, purpose",ଅର୍ଥ ର ମଧୁର କିରଣ,Sweet rays of the meaning,advanced
665,ବ୍ୟାଖ୍ୟା,interpretation,vocabulary,"Explanation, analysis, commentary",ବ୍ୟାଖ୍ୟା ର ମଧୁର କିରଣ,Sweet rays of the interpretation,advanced
666,ଧାରଣା,concept,vocabulary,"Idea, notion, understanding",ଧାରଣା ର ମଧୁର କିରଣ,Sweet rays of the concept,advanced
667,ବିଚାର,thought,vocabulary,"Thinking, reflection, consideration",ବିଚାର ର ମଧୁର କିରଣ,Sweet rays of the thought,advanced
668,ସ୍ଥିରୀକରଣ,determination,vocabulary,"Decision, resolution, willpower",ସ୍ଥିରୀକରଣ ର ମଧୁର କିରଣ,Sweet rays of the determination,advanced
669,ଗୁଳ୍ମ,shrub,vocabulary,"Small plant, modest growth",ଗୁଳ୍ମ ର ମଧୁର କିରଣ,Sweet rays of the shrub,advanced
670,ଲତା,creeper,vocabulary,"Climbing plant, dependence",ଲତା ର ମଧୁର କିରଣ,Sweet rays of the creeper,advanced
671,ବନସ୍ପତି,vegetation,vocabulary,"Plant life, nature's cover",ବନସ୍ପତି ର ମଧୁର କିରଣ,Sweet rays of the vegetation,advanced
672,ପୁଷ୍ପିତ,flowering,vocabulary,"Blooming, flourishing, prime",ପୁଷ୍ପିତ ର ମଧୁର କିରଣ,Sweet rays of the flowering,advanced
673,ଫଳପୁଷ୍ପ,fruits and flowers,vocabulary,"Rewards, results, beauty",ଫଳପୁଷ୍ପ ର ମଧୁର କିରଣ,Sweet rays of the fruits and flowers,advanced
674,ପର୍ଣ୍ଣ,foliage,vocabulary,"Leaves, covering, shade",ପର୍ଣ୍ଣ ର ମଧୁର କିରଣ,Sweet rays of the foliage,advanced
675,ପ୍ରସ୍ଫୁଟିତ,blossomed,vocabulary,"Fully bloomed, matured",ପ୍ରସ୍ଫୁଟିତ ର ମଧୁର କିରଣ,Sweet rays of the blossomed,advanced
676,ମୁକୁଳିତ,budded,vocabulary,"Beginning, potential, youth",ମୁକୁଳିତ ର ମଧୁର କିରଣ,Sweet rays of the budded,advanced
677,ଶୁଷ୍କ,dry,vocabulary,"Arid, lifeless, waiting",ଶୁଷ୍କ ର ମଧୁର କିରଣ,Sweet rays of the dry,advanced
678,ସରସ,juicy,vocabulary,"Fresh, lively, nourishing",ସରସ ର ମଧୁର କିରଣ,Sweet rays of the juicy,advanced
679,କ୍ଷୁଧା,hunger,vocabulary,"Desire, need, emptiness",କ୍ଷୁଧା ର ମଧୁର କିରଣ,Sweet rays of the hunger,advanced
680,ତୃଷ୍ଣା,thirst,vocabulary,"Craving, longing, desire",ତୃଷ୍ଣା ର ମଧୁର କିରଣ,Sweet rays of the thirst,advanced
681,ନିଦ୍ରା,sleep,vocabulary,"Rest, dreams, unconscious",ନିଦ୍ରା ର ମଧୁର କିରଣ,Sweet rays of the sleep,advanced
682,ଜାଗ୍ରତ,awake,vocabulary,"Alert, conscious, aware",ଜାଗ୍ରତ ର ମଧୁର କିରଣ,Sweet rays of the awake,advanced
683,ସ୍ଵପ୍ନଦର୍ଶୀ,dreamer,vocabulary,"Visionary, idealist, creative",ସ୍ଵପ୍ନଦର୍ଶୀ ର ମଧୁର କିରଣ,Sweet rays of the dreamer,advanced
684,ବାସ୍ତବବାଦୀ,realist,vocabulary,"Practical, grounded, factual",ବାସ୍ତବବାଦୀ ର ମଧୁର କିରଣ,Sweet rays of the realist,advanced
685,ଆଦର୍ଶବାଦୀ,idealist,vocabulary,"Perfectionist, visionary, dreamer",ଆଦର୍ଶବାଦୀ ର ମଧୁର କିରଣ,Sweet rays of the idealist,advanced
686,ଯଥାର୍ଥବାଦୀ,pragmatist,vocabulary,"Practical, realistic, utilitarian",ଯଥାର୍ଥବାଦୀ ର ମଧୁର କିରଣ,Sweet rays of the pragmatist,advanced
687,କଳ୍ପନାପ୍ରସୂତ,imaginary,vocabulary,"Fictional, creative, unreal",କଳ୍ପନାପ୍ରସୂତ ର ମଧୁର କିରଣ,Sweet rays of the imaginary,advanced
688,ବାସ୍ତବିକ,real,vocabulary,"Actual, true, existing",ବାସ୍ତବିକ ର ମଧୁର କିରଣ,Sweet rays of the real,advanced
689,ମେଘାଚ୍ଛନ୍ନ,cloudy,vocabulary,"Overcast, gloomy, mysterious",ମେଘାଚ୍ଛନ୍ନ ର ମଧୁର କିରଣ,Sweet rays of the cloudy,advanced
690,ନିର୍ମଳ,clear,vocabulary,"Pure, transparent, honest",ନିର୍ମଳ ର ମଧୁର କିରଣ,Sweet rays of the clear,advanced
691,ଉଷ୍ଣ,warm,vocabulary,"Hot, passionate, intense",ଉଷ୍ଣ ର ମଧୁର କିରଣ,Sweet rays of the warm,advanced
692,ଶୀତଳ,cool,vocabulary,"Cold, calm, composed",ଶୀତଳ ର ମଧୁର କିରଣ,Sweet rays of the cool,advanced
693,ଆର୍ଦ୍ର,humid,vocabulary,"Moist, emotional, heavy",ଆର୍ଦ୍ର ର ମଧୁର କିରଣ,Sweet rays of the humid,advanced
694,ଶୁଷ୍କ,dry,vocabulary,"Arid, straightforward, simple",ଶୁଷ୍କ ର ମଧୁର କିରଣ,Sweet rays of the dry,advanced
695,ଝଡ଼ୀୟ,stormy,vocabulary,"Turbulent, emotional, chaotic",ଝଡ଼ୀୟ ର ମଧୁର କିରଣ,Sweet rays of the stormy,advanced
696,ଶାନ୍ତ,calm,vocabulary,"Peaceful, tranquil, still",ଶାନ୍ତ ର ମଧୁର କିରଣ,Sweet rays of the calm,advanced
697,ପ୍ରଚଣ୍ଡ,fierce,vocabulary,"Intense, powerful, overwhelming",ପ୍ରଚଣ୍ଡ ର ମଧୁର କିରଣ,Sweet rays of the fierce,advanced
698,ମନ୍ଥର,slow,vocabulary,"Leisurely, gradual, patient",ମନ୍ଥର ର ମଧୁର କିରଣ,Sweet rays of the slow,advanced
699,କୋମଳ,soft,vocabulary,"Gentle, tender, delicate",କୋମଳ ର ମଧୁର କିରଣ,Sweet rays of the soft,advanced
700,କଠୋର,hard,vocabulary,"Tough, strict, unyielding",କଠୋର ର ମଧୁର କିରଣ,Sweet rays of the hard,advanced
701,ମସୃଣ,smooth,vocabulary,"Even, polished, effortless",ମସୃଣ ର ମଧୁର କିରଣ,Sweet rays of the smooth,advanced
702,ରୁଖା,rough,vocabulary,"Uneven, harsh, challenging",ରୁଖା ର ମଧୁର କିରଣ,Sweet rays of the rough,advanced
703,ଭାରୀ,heavy,vocabulary,"Weighty, significant, burdensome",ଭାରୀ ର ମଧୁର କିରଣ,Sweet rays of the heavy,advanced
704,ହାଲୁକା,light,vocabulary,"Lightweight, trivial, gentle",ହାଲୁକା ର ମଧୁର କିରଣ,Sweet rays of the light,advanced
705,ସ୍ଥୂଳ,coarse,vocabulary,"Rough, unrefined, basic",ସ୍ଥୂଳ ର ମଧୁର କିରଣ,Sweet rays of the coarse,advanced
706,ସୂକ୍ଷ୍ମ,fine,vocabulary,"Delicate, detailed, precise",ସୂକ୍ଷ୍ମ ର ମଧୁର କିରଣ,Sweet rays of the fine,advanced
707,ଘନ,dense,vocabulary,"Thick, intense, compact",ଘନ ର ମଧୁର କିରଣ,Sweet rays of the dense,advanced
708,ବିରଳ,sparse,vocabulary,"Scarce, rare, occasional",ବିରଳ ର ମଧୁର କିରଣ,Sweet rays of the sparse,advanced
709,ଗତି,movement,vocabulary,"Motion, progress, change",ଗତି ର ମଧୁର କିରଣ,Sweet rays of the movement,advanced
710,ସ୍ଥିତି,stillness,vocabulary,"Stability, permanence, rest",ସ୍ଥିତି ର ମଧୁର କିରଣ,Sweet rays of the stillness,advanced
711,ଆଗମନ,arrival,vocabulary,"Coming, beginning, approach",ଆଗମନ ର ମଧୁର କିରଣ,Sweet rays of the arrival,advanced
712,ପ୍ରସ୍ଥାନ,departure,vocabulary,"Leaving, ending, separation",ପ୍ରସ୍ଥାନ ର ମଧୁର କିରଣ,Sweet rays of the departure,advanced
713,ଆରୋହଣ,ascent,vocabulary,"Climbing, rising, progress",ଆରୋହଣ ର ମଧୁର କିରଣ,Sweet rays of the ascent,advanced
714,ଅବରୋହଣ,descent,vocabulary,"Descending, falling, decline",ଅବରୋହଣ ର ମଧୁର କିରଣ,Sweet rays of the descent,advanced
715,ପ୍ରବେଶ,entry,vocabulary,"Entering, beginning, inclusion",ପ୍ରବେଶ ର ମଧୁର କିରଣ,Sweet rays of the entry,advanced
716,ନିର୍ଗମନ,exit,vocabulary,"Leaving, exclusion, end",ନିର୍ଗମନ ର ମଧୁର କିରଣ,Sweet rays of the exit,advanced
717,ଆବର୍ତ୍ତନ,rotation,vocabulary,"Cycling, repetition, return",ଆବର୍ତ୍ତନ ର ମଧୁର କିରଣ,Sweet rays of the rotation,advanced
718,ସ୍ଥାନାନ୍ତରଣ,transference,vocabulary,"Moving, changing, transition",ସ୍ଥାନାନ୍ତରଣ ର ମଧୁର କିରଣ,Sweet rays of the transference,advanced
719,ଜାଗ୍ରତ,awake,vocabulary,"Conscious, alert, aware",ଜାଗ୍ରତ ର ମଧୁର କିରଣ,Sweet rays of the awake,advanced
720,ସୁପ୍ତ,asleep,vocabulary,"Resting, dormant, potential",ସୁପ୍ତ ର ମଧୁର କିରଣ,Sweet rays of the asleep,advanced
721,ସଚେତନ,conscious,vocabulary,"Aware, mindful, present",ସଚେତନ ର ମଧୁର କିରଣ,Sweet rays of the conscious,advanced
722,ଅଚେତନ,unconscious,vocabulary,"Unaware, subconscious, automatic",ଅଚେତନ ର ମଧୁର କିରଣ,Sweet rays of the unconscious,advanced
723,ସକ୍ରିୟ,active,vocabulary,"Energetic, working, engaged",ସକ୍ରିୟ ର ମଧୁର କିରଣ,Sweet rays of the active,advanced
724,ନିଷ୍କ୍ରିୟ,inactive,vocabulary,"Passive, dormant, waiting",ନିଷ୍କ୍ରିୟ ର ମଧୁର କିରଣ,Sweet rays of the inactive,advanced
725,ସ୍ଵତନ୍ତ୍ର,independent,vocabulary,"Free, autonomous, self-reliant",ସ୍ଵତନ୍ତ୍ର ର ମଧୁର କିରଣ,Sweet rays of the independent,advanced
726,ପରାଧୀନ,dependent,vocabulary,"Reliant, connected, supported",ପରାଧୀନ ର ମଧୁର କିରଣ,Sweet rays of the dependent,advanced
727,ସମୃଦ୍ଧ,prosperous,vocabulary,"Wealthy, abundant, successful",ସମୃଦ୍ଧ ର ମଧୁର କିରଣ,Sweet rays of the prosperous,advanced
728,ଦରିଦ୍ର,poor,vocabulary,"Needy, lacking, humble",ଦରିଦ୍ର ର ମଧୁର କିରଣ,Sweet rays of the poor,advanced
729,ବସନ୍ତ,spring,vocabulary,"Rebirth, youth, freshness",ବସନ୍ତ ର ମଧୁର କିରଣ,Sweet rays of the spring,advanced
730,ଗ୍ରୀଷ୍ମ,summer,vocabulary,"Heat, passion, intensity",ଗ୍ରୀଷ୍ମ ର ମଧୁର କିରଣ,Sweet rays of the summer,advanced
731,ବର୍ଷା,monsoon,vocabulary,"Romance, emotion, cleansing",ବର୍ଷା ର ମଧୁର କିରଣ,Sweet rays of the monsoon,advanced
732,ଶରତ,autumn,vocabulary,"Clarity, maturity, beauty",ଶରତ ର ମଧୁର କିରଣ,Sweet rays of the autumn,advanced
733,ହେମନ୍ତ,late autumn,vocabulary,"Transition, preparation, change",ହେମନ୍ତ ର ମଧୁର କିରଣ,Sweet rays of the late autumn,advanced
734,ଶୀତ,winter,vocabulary,"Rest, reflection, coldness",ଶୀତ ର ମଧୁର କିରଣ,Sweet rays of the winter,advanced
735,ପ୍ରଭାତ,dawn,vocabulary,"Beginning, hope, new start",ପ୍ରଭାତ ର ମଧୁର କିରଣ,Sweet rays of the dawn,advanced
736,ସୂର୍ଯୋଦୟ,sunrise,vocabulary,"Birth, energy, awakening",ସୂର୍ଯୋଦୟ ର ମଧୁର କିରଣ,Sweet rays of the sunrise,advanced
737,ମଧ୍ୟାହ୍ନ,noon,vocabulary,"Peak, climax, intensity",ମଧ୍ୟାହ୍ନ ର ମଧୁର କିରଣ,Sweet rays of the noon,advanced
738,ଅସ୍ତଗାମୀ,sunset,vocabulary,"Ending, completion, peace",ଅସ୍ତଗାମୀ ର ମଧୁର କିରଣ,Sweet rays of the sunset,advanced
739,ଗନ୍ଧର୍ବ,celestial musician,vocabulary,"Divine artist, beauty",ଗନ୍ଧର୍ବ ର ମଧୁର କିରଣ,Sweet rays of the celestial musician,advanced
740,ଅପ୍ସରା,celestial nymph,vocabulary,"Heavenly dancer, grace",ଅପ୍ସରା ର ମଧୁର କିରଣ,Sweet rays of the celestial nymph,advanced
741,ୟକ୍ଷ,nature spirit,vocabulary,"Guardian, treasure, nature",ୟକ୍ଷ ର ମଧୁର କିରଣ,Sweet rays of the nature spirit,advanced
742,ରାକ୍ଷସ,demon,vocabulary,"Evil, power, darkness",ରାକ୍ଷସ ର ମଧୁର କିରଣ,Sweet rays of the demon,advanced
743,ଦାନବ,giant,vocabulary,"Strength, challenge, obstacle",ଦାନବ ର ମଧୁର କିରଣ,Sweet rays of the giant,advanced
744,ଦେବ,god,vocabulary,"Divinity, perfection, power",ଦେବ ର ମଧୁର କିରଣ,Sweet rays of the god,advanced
745,ଦେବଦୁତ,messenger,vocabulary,"Communication, news, divine",ଦେବଦୁତ ର ମଧୁର କିରଣ,Sweet rays of the messenger,advanced
746,ମୁନି,sage,vocabulary,"Wisdom, meditation, peace",ମୁନି ର ମଧୁର କିରଣ,Sweet rays of the sage,advanced
747,ଋଷି,seer,vocabulary,"Vision, knowledge, prophecy",ଋଷି ର ମଧୁର କିରଣ,Sweet rays of the seer,advanced
748,ଯୋଗୀ,yogi,vocabulary,"Spiritual, discipline, enlightenment",ଯୋଗୀ ର ମଧୁର କିରଣ,Sweet rays of the yogi,advanced
749,ପଦ୍ୟ,verse,vocabulary,"Poetic line, rhythm",ପଦ୍ୟ ର ମଧୁର କିରଣ,Sweet rays of the verse,advanced
750,ଗଦ୍ୟ,prose,vocabulary,"Straightforward, narrative",ଗଦ୍ୟ ର ମଧୁର କିରଣ,Sweet rays of the prose,advanced
751,ଛନ୍ଦଃ,meter,vocabulary,"Rhythmic pattern, structure",ଛନ୍ଦଃ ର ମଧୁର କିରଣ,Sweet rays of the meter,advanced
752,ପ୍ରାସ,rhyme,vocabulary,"Sound repetition, music",ପ୍ରାସ ର ମଧୁର କିରଣ,Sweet rays of the rhyme,advanced
753,ଅନୁପ୍ରାସ,alliteration,vocabulary,Beginning sound repetition,ଅନୁପ୍ରାସ ର ମଧୁର କିରଣ,Sweet rays of the alliteration,advanced
754,ଯମକ,pun,vocabulary,"Word play, double meaning",ଯମକ ର ମଧୁର କିରଣ,Sweet rays of the pun,advanced
755,ଶ୍ଳେଷ,ambiguity,vocabulary,"Multiple meanings, depth",ଶ୍ଳେଷ ର ମଧୁର କିରଣ,Sweet rays of the ambiguity,advanced
756,ବକ୍ରୋକ୍ତି,indirect expression,vocabulary,"Subtlety, suggestion",ବକ୍ରୋକ୍ତି ର ମଧୁର କିରଣ,Sweet rays of the indirect expression,advanced
757,ଅର୍ଥାନ୍ତରନ୍ୟାସ,corroboration,vocabulary,"Supporting meaning, emphasis",ଅର୍ଥାନ୍ତରନ୍ୟାସ ର ମଧୁର କିରଣ,Sweet rays of the corroboration,advanced
758,ବିଭାବନା,fancy,vocabulary,"Imagination, creativity",ବିଭାବନା ର ମଧୁର କିରଣ,Sweet rays of the fancy,advanced
759,ହର୍ଷୋଲ୍ଲାସ,ecstasy,vocabulary,"Extreme joy, excitement",ହର୍ଷୋଲ୍ଲାସ ର ମଧୁର କିରଣ,Sweet rays of the ecstasy,advanced
760,ବିଷାଦ,melancholy,vocabulary,"Deep sadness, reflection",ବିଷାଦ ର ମଧୁର କିରଣ,Sweet rays of the melancholy,advanced
761,ଉଦ୍ବେଗ,anxiety,vocabulary,"Worry, tension, unease",ଉଦ୍ବେଗ ର ମଧୁର କିରଣ,Sweet rays of the anxiety,advanced
762,ଆଶ୍ଚର୍ଯ୍ୟ,wonder,vocabulary,"Amazement, surprise, awe",ଆଶ୍ଚର୍ଯ୍ୟ ର ମଧୁର କିରଣ,Sweet rays of the wonder,advanced
763,ବିସ୍ମୟ,astonishment,vocabulary,"Shock, surprise, wonder",ବିସ୍ମୟ ର ମଧୁର କିରଣ,Sweet rays of the astonishment,advanced
764,ସନ୍ତୋଷ,contentment,vocabulary,"Satisfaction, peace, happiness",ସନ୍ତୋଷ ର ମଧୁର କିରଣ,Sweet rays of the contentment,advanced
765,ଅସନ୍ତୋଷ,discontent,vocabulary,"Dissatisfaction, longing",ଅସନ୍ତୋଷ ର ମଧୁର କିରଣ,Sweet rays of the discontent,advanced
766,ତୃପ୍ତି,fulfillment,vocabulary,"Completion, satisfaction",ତୃପ୍ତି ର ମଧୁର କିରଣ,Sweet rays of the fulfillment,advanced
767,ଅତୃପ୍ତି,insatiability,vocabulary,"Endless desire, craving",ଅତୃପ୍ତି ର ମଧୁର କିରଣ,Sweet rays of the insatiability,advanced
768,ସ୍ମିତ,smile,vocabulary,"Happiness, gentleness, approval",ସ୍ମିତ ର ମଧୁର କିରଣ,Sweet rays of the smile,advanced
769,ଭୂକମ୍ପ,earthquake,vocabulary,"Upheaval, change, power",ଭୂକମ୍ପ ର ମଧୁର କିରଣ,Sweet rays of the earthquake,advanced
770,ଜ୍ୱାଳାମୁଖୀ,volcano,vocabulary,"Passion, eruption, power",ଜ୍ୱାଳାମୁଖୀ ର ମଧୁର କିରଣ,Sweet rays of the volcano,advanced
771,ସୁନାମୀ,tsunami,vocabulary,"Overwhelming force, disaster",ସୁନାମୀ ର ମଧୁର କିରଣ,Sweet rays of the tsunami,advanced
772,ବନ୍ୟା,flood,vocabulary,"Overflow, emotion, cleansing",ବନ୍ୟା ର ମଧୁର କିରଣ,Sweet rays of the flood,advanced
773,ଦୁର୍ଭିକ୍ଷ,famine,vocabulary,"Scarcity, suffering, test",ଦୁର୍ଭିକ୍ଷ ର ମଧୁର କିରଣ,Sweet rays of the famine,advanced
774,ସମୃଦ୍ଧି,abundance,vocabulary,"Plenty, prosperity, blessing",ସମୃଦ୍ଧି ର ମଧୁର କିରଣ,Sweet rays of the abundance,advanced
775,ବିପଦ,danger,vocabulary,"Risk, challenge, threat",ବିପଦ ର ମଧୁର କିରଣ,Sweet rays of the danger,advanced
776,ସୁରକ୍ଷା,safety,vocabulary,"Protection, security, peace",ସୁରକ୍ଷା ର ମଧୁର କିରଣ,Sweet rays of the safety,advanced
777,ଆଶ୍ରୟ,shelter,vocabulary,"Protection, home, safety",ଆଶ୍ରୟ ର ମଧୁର କିରଣ,Sweet rays of the shelter,advanced
778,ବିପ୍ଳବ,revolution,vocabulary,"Change, uprising, transformation",ବିପ୍ଳବ ର ମଧୁର କିରଣ,Sweet rays of the revolution,advanced
779,ବ୍ରହ୍ମାଣ୍ଡ,universe,vocabulary,"Cosmos, existence, vastness",ବ୍ରହ୍ମାଣ୍ଡ ର ମଧୁର କିରଣ,Sweet rays of the universe,advanced
780,ଖଣ୍ଡବ୍ରହ୍ମାଣ୍ଡ,multiverse,vocabulary,"Multiple realities, possibilities",ଖଣ୍ଡବ୍ରହ୍ମାଣ୍ଡ ର ମଧୁର କିରଣ,Sweet rays of the multiverse,advanced
